Title,nonfungibleness,transferrable,Generation,Generative,ownership_period,OnChain,Category,Format,Type,Interactive,Animated,Website,OpenSea,Twitter,Contract,image,Detail,Network,Date
Darkwinds,Fully nonfungible,TRUE,Curated,FALSE,Forever,FALSE,Game,Visual,Still images,FALSE,FALSE,https://web.archive.org/web/20180402133356/https://playdarkwinds.com/,https://opensea.io/collection/darkwinds,,https://etherscan.io/address/0x552d72f86f04098a4eaeDA6D7b665AC12f846AD2,,,Ethereum,"April 30, 2018"
CryptoStrikers,Semi-fungible,TRUE,Generative,FALSE,Forever,FALSE,Sports,Visual,Still images,FALSE,FALSE,https://www.strikers.auction/,https://opensea.io/collection/wrapped-strikers,https://twitter.com/cryptostrikers,https://etherscan.io/address/0xdcaad9fd9a74144d226dbf94ce6162ca9f09ed7e,https://raw.githubusercontent.com/chainleft/nft.observer/main/images/cryptostrikers.png,,Ethereum,"June 9, 2018"
CryptoArte,Fully nonfungible,TRUE,Generative,TRUE,Forever,FALSE,Art,Visual,Still images,FALSE,FALSE,https://www.cryptoarte.io/,https://opensea.io/collection/cryptoarte,https://twitter.com/CryptoArte,https://etherscan.io/address/0xbace7e22f06554339911a03b8e0ae28203da9598,https://raw.githubusercontent.com/chainleft/nft.observer/main/images/cryptoarte.png,,Ethereum,"July 11, 2018"
Crypto Jingles,Fully nonfungible,TRUE,User-created,FALSE,Forever,FALSE,Art,Audiovisual,Music,FALSE,TRUE,https://cryptojingles.app/,https://opensea.io/collection/genesis-jingles,https://twitter.com/CryptoJingles,https://etherscan.io/address/0x5b6660ca047cc351bfedca4fc864d0a88f551485,https://raw.githubusercontent.com/chainleft/nft.observer/main/images/crypto%20jingles2.gif,,Ethereum,"February 18, 2018"
Cryptographics,Fully nonfungible,TRUE,Generative,TRUE,Forever,FALSE,Art,Visual,Still images,FALSE,FALSE,https://cryptographics.app/,https://opensea.io/collection/cryptographicsart,https://twitter.com/_Cryptographics,https://etherscan.io/address/0xb80776700778e7415da08ef65fa389f75737fb95,,,Ethereum,"October 3, 2018"
CryptoSketches,Fully nonfungible,TRUE,User-created,FALSE,Forever,TRUE,Art,Visual,Still images,FALSE,FALSE,https://www.cryptosketches.com/,https://www.cryptosketches.com/gallery/offers,https://twitter.com/CryptoSketches,https://etherscan.io/address/0x31c70e9a1bab16f47710e4b302c49998cfb36ef9,https://raw.githubusercontent.com/chainleft/nft.observer/main/images/cryptosketches.jpeg,,Ethereum,"April 7, 2018"
Autoglyphs,Fully nonfungible,TRUE,Generative,TRUE,Forever,TRUE,Art,Visual,Still images,FALSE,FALSE,https://www.larvalabs.com/autoglyphs,https://opensea.io/collection/autoglyphs,https://twitter.com/larvalabs,https://etherscan.io/address/0xd4e4078ca3495de5b1d4db434bebc5a986197782,https://raw.githubusercontent.com/chainleft/nft.observer/main/images/autoglyphs.png,data also stored on chain,Ethereum,"April 5, 2019"
KLEEE02,Fully nonfungible,TRUE,Generative,TRUE,Forever,FALSE,Art,Visual,Still images,FALSE,FALSE,https://fungle.xyz/kleee02/,https://opensea.io/collection/kleee02,https://twitter.com/FungleXyz,https://etherscan.io/address/0x63658cc84a5b2b969b8df9bea129a1c933e1439f,,,Ethereum,"April 10, 2019"
Chainfaces,Fully nonfungible,TRUE,Generative,TRUE,Forever,TRUE,Art,Visual,Still images,FALSE,FALSE,https://www.chainfaces.co/,https://opensea.io/collection/chainfaces,https://twitter.com/natealexnft,https://etherscan.io/address/0x91047abf3cab8da5a9515c8750ab33b4f1560a7a,,,Ethereum,"January 19, 2020"
Avastars Gen 1,Fully nonfungible,TRUE,Generative,TRUE,Forever,TRUE,PFP,Visual,Still images,FALSE,FALSE,https://avastars.io/,https://opensea.io/collection/avastar,https://twitter.com/AvastarsNFT,https://etherscan.io/address/0xf3e778f839934fc819cfa1040aabacecba01e049,https://raw.githubusercontent.com/chainleft/nft.observer/main/images/avastars.png,data also stored on chain,Ethereum,"February 7, 2020"
